1614962446382, 5159-4504-8495-6584, Visa, 9, Aus_der_Region, 2.43, CHF, CHF, 1614962446082, 1.0
1614962461307, 5147-1168-7194-4072, AMEX, 1, Aus_der_Region, 71.06, EUR, USD, 1614962461155, 1.08
1614962461382, 5146-3228-4928-2668, Visa, 11, Shop_am_Eck, 27.42, EUR, USD, 1614962461155, 1.08
1614962461266, 5185-3212-4086-5081, Revolut, 6, Tante_Emma, 39.8, CHF, USD, 1614962460152, 0.9
1614962461457, 5149-2791-2543-8564, AMEX, 10, Aus_der_Region, 36.77, CHF, USD, 1614962460152, 0.9
1614962461608, 5153-3765-9135-7020, Revolut, 7, Aus_der_Region, 16.42, CHF, USD, 1614962460152, 0.9
1614962461672, 5145-8979-4545-5226, Diners Club, 7, Aus_der_Region, 66.5, CHF, USD, 1614962460152, 0.9
1614962461820, 5130-6043-6431-7641, Revolut, 8, Aus_der_Region, 84.99, CHF, USD, 1614962460152, 0.9
1614962461831, 5143-2074-6687-2887, MasterCard, 9, Aus_der_Region, 44.28, CHF, USD, 1614962460152, 0.9
1614962461511, 5184-8477-2842-6019, MasterCard, 12, BioMarkt, 5.38, EUR, USD, 1614962461155, 1.08
1614962461693, 5131-1707-4663-7297, Visa, 8, Aus_der_Region, 54.88, EUR, USD, 1614962461155, 1.08
1614962461788, 5184-9494-4951-5993, AMEX, 15, BioMarkt, 49.81, EUR, USD, 1614962461155, 1.08
1614962461883, 5155-3925-8977-3981, Visa, 5, Tante_Emma, 49.38, EUR, USD, 1614962461155, 1.08
1614962461945, 5162-8252-1158-7850, Maestro, 1, Aus_der_Region, 19.59, EUR, USD, 1614962462156, 1.05
1614962461976, 5180-4805-7573-3654, AMEX, 14, BioMarkt, 57.25, EUR, USD, 1614962462156, 1.05
1614962462174, 5147-5033-6235-4094, MasterCard, 12, BioMarkt, 55.59, EUR, USD, 1614962462156, 1.05
1614962462295, 5194-8956-8429-3189, Maestro, 0, Tante_Emma, 17.18, EUR, USD, 1614962462156, 1.05
1614962462317, 5150-6396-1237-6021, MasterCard, 8, Aus_der_Region, 83.31, EUR, USD, 1614962462156, 1.05
1614962462388, 5198-9075-4957-1250, Maestro, 3, SihlCity, 17.13, EUR, USD, 1614962462156, 1.05
1614962462411, 5152-7073-8187-6549, Revolut, 1, Aus_der_Region, 64.58, EUR, USD, 1614962462156, 1.05
1614962462433, 5170-2462-8317-1113, Visa, 14, BioMarkt, 49.49, EUR, USD, 1614962462156, 1.05
1614962462525, 5133-3313-9055-1312, Maestro, 2, Shop_am_Eck, 79.42, EUR, USD, 1614962462156, 1.05
1614962462565, 5165-5870-9655-8449, Revolut, 12, BioMarkt, 32.59, EUR, USD, 1614962462156, 1.05
1614962462575, 5154-6886-3013-1371, AMEX, 12, BioMarkt, 63.91, EUR, USD, 1614962462156, 1.05
1614962462665, 5156-6427-9815-8148, MasterCard, 3, SihlCity, 12.05, EUR, USD, 1614962462156, 1.05
1614962462817, 5135-8511-4605-3512, Diners Club, 1, Aus_der_Region, 6.66, EUR, USD, 1614962462156, 1.05
1614962462862, 5128-6273-6412-6428, Visa, 4, BioMarkt, 27.22, EUR, USD, 1614962462156, 1.05
1614962462902, 5194-1145-7783-7004, Visa, 9, Aus_der_Region, 40.1, EUR, USD, 1614962462156, 1.05
1614962462953, 5123-4713-3556-5650, Maestro, 1, Aus_der_Region, 75.9, EUR, USD, 1614962462156, 1.05
1614962463526, 5176-4020-1872-8381, Diners Club, 14, BioMarkt, 63.02, EUR, USD, 1614962462156, 1.05
1614962463618, 5122-1845-4194-6677, Revolut, 12, BioMarkt, 87.33, EUR, USD, 1614962462156, 1.05
1614962463650, 5139-9825-5943-3578, Maestro, 5, Tante_Emma, 85.84, EUR, USD, 1614962462156, 1.05
1614962463731, 5168-8765-6085-8029, AMEX, 3, SihlCity, 40.0, EUR, USD, 1614962462156, 1.05
1614962463783, 5134-3118-3988-2129, Maestro, 6, Tante_Emma, 49.21, EUR, USD, 1614962462156, 1.05
1614962463875, 5110-7149-8148-9600, Visa, 12, BioMarkt, 79.88, EUR, USD, 1614962462156, 1.05
1614962462082, 5139-8036-1606-8580, AMEX, 8, Aus_der_Region, 60.23, CHF, CHF, 1614962463156, 1.0
1614962462144, 5148-2695-2613-8611, AMEX, 9, Aus_der_Region, 61.67, CHF, CHF, 1614962463156, 1.0
1614962462154, 5162-4211-5668-2956, MasterCard, 11, Shop_am_Eck, 22.72, CHF, CHF, 1614962463156, 1.0
1614962462245, 5139-7486-3802-8702, Diners Club, 5, Tante_Emma, 32.61, CHF, CHF, 1614962463156, 1.0
1614962462422, 5148-5759-2967-9170, Revolut, 15, BioMarkt, 68.21, CHF, CHF, 1614962463156, 1.0
1614962462655, 5186-4208-2549-8584, AMEX, 15, BioMarkt, 24.78, CHF, CHF, 1614962463156, 1.0
1614962462687, 5154-2954-3714-2190, Revolut, 2, Shop_am_Eck, 57.1, CHF, CHF, 1614962463156, 1.0
1614962462797, 5115-8396-6489-4992, Visa, 15, BioMarkt, 87.15, CHF, CHF, 1614962463156, 1.0
1614962462839, 5128-1767-4227-6768, Diners Club, 3, SihlCity, 35.37, CHF, CHF, 1614962463156, 1.0
1614962462985, 5127-9409-1720-7400, Maestro, 5, Tante_Emma, 62.24, CHF, CHF, 1614962463156, 1.0
1614962463075, 5126-8148-3405-7127, MasterCard, 14, BioMarkt, 16.81, CHF, CHF, 1614962463156, 1.0
1614962463085, 5171-5668-7050-1921, Diners Club, 11, Shop_am_Eck, 57.41, CHF, CHF, 1614962463156, 1.0
1614962463147, 5164-1469-4175-5934, Visa, 2, Shop_am_Eck, 53.27, CHF, CHF, 1614962463156, 1.0
1614962463176, 5120-5891-2817-5327, Revolut, 0, Tante_Emma, 55.99, CHF, CHF, 1614962463156, 1.0
1614962463383, 5136-1653-8768-4725, Diners Club, 7, Aus_der_Region, 42.43, CHF, CHF, 1614962463156, 1.0
1614962463497, 5184-7981-2102-2153, Diners Club, 2, Shop_am_Eck, 44.81, CHF, CHF, 1614962463156, 1.0
1614962463680, 5194-9077-5441-4908, AMEX, 6, Tante_Emma, 23.75, CHF, CHF, 1614962463156, 1.0
1614962463712, 5131-8022-5575-9564, MasterCard, 7, Aus_der_Region, 57.87, CHF, CHF, 1614962463156, 1.0
1614962463855, 5138-2300-2537-2381, MasterCard, 7, Aus_der_Region, 73.13, CHF, CHF, 1614962463156, 1.0
1614962463906, 5118-6846-6866-8128, Visa, 4, BioMarkt, 31.22, CHF, CHF, 1614962463156, 1.0
1614962464044, 5177-7948-6889-9476, Visa, 11, Shop_am_Eck, 87.57, EUR, USD, 1614962464157, 0.9
1614962464044, 5177-7948-6889-9476, Visa, 11, Shop_am_Eck, 87.57, EUR, USD, 1614962465159, 0.96
1614962464149, 5124-7300-4643-7359, Maestro, 15, BioMarkt, 55.05, EUR, USD, 1614962464157, 0.9
1614962464149, 5124-7300-4643-7359, Maestro, 15, BioMarkt, 55.05, EUR, USD, 1614962465159, 0.96
1614962464331, 5168-9056-4012-8237, MasterCard, 12, BioMarkt, 52.16, EUR, USD, 1614962464157, 0.9
1614962464331, 5168-9056-4012-8237, MasterCard, 12, BioMarkt, 52.16, EUR, USD, 1614962465159, 0.96
1614962464341, 5154-5563-7575-2593, AMEX, 2, Shop_am_Eck, 50.24, EUR, USD, 1614962464157, 0.9
1614962464341, 5154-5563-7575-2593, AMEX, 2, Shop_am_Eck, 50.24, EUR, USD, 1614962465159, 0.96
1614962464372, 5198-8495-4799-1310, Revolut, 5, Tante_Emma, 4.92, EUR, USD, 1614962464157, 0.9
1614962464372, 5198-8495-4799-1310, Revolut, 5, Tante_Emma, 4.92, EUR, USD, 1614962465159, 0.96
1614962464460, 5164-7531-5813-6319, AMEX, 1, Aus_der_Region, 43.26, EUR, USD, 1614962464157, 0.9
1614962464460, 5164-7531-5813-6319, AMEX, 1, Aus_der_Region, 43.26, EUR, USD, 1614962465159, 0.96
1614962464601, 5180-4479-4024-9018, Maestro, 2, Shop_am_Eck, 26.06, EUR, USD, 1614962464157, 0.9
1614962464601, 5180-4479-4024-9018, Maestro, 2, Shop_am_Eck, 26.06, EUR, USD, 1614962465159, 0.96
1614962464622, 5161-3276-8744-8995, Diners Club, 12, BioMarkt, 25.85, EUR, USD, 1614962464157, 0.9
1614962464622, 5161-3276-8744-8995, Diners Club, 12, BioMarkt, 25.85, EUR, USD, 1614962465159, 0.96
1614962464811, 5127-6761-3028-2575, Diners Club, 14, BioMarkt, 39.4, EUR, USD, 1614962464157, 0.9
1614962464811, 5127-6761-3028-2575, Diners Club, 14, BioMarkt, 39.4, EUR, USD, 1614962465159, 0.96
1614962464831, 5111-7919-6312-3792, AMEX, 8, Aus_der_Region, 2.91, EUR, USD, 1614962464157, 0.9
1614962464831, 5111-7919-6312-3792, AMEX, 8, Aus_der_Region, 2.91, EUR, USD, 1614962465159, 0.96
1614962464988, 5182-6663-3106-7860, MasterCard, 4, BioMarkt, 30.5, EUR, USD, 1614962464157, 0.9
1614962464988, 5182-6663-3106-7860, MasterCard, 4, BioMarkt, 30.5, EUR, USD, 1614962465159, 0.96
1614962465052, 5165-1317-7354-5256, Visa, 5, Tante_Emma, 1.11, EUR, USD, 1614962464157, 0.9
